fiscal_year,cp_rate,rate_hike_above_loudoun,new_capex_this_year,ncf,refresh_factor,cp_av,cp_revenue
2027,4.500000,0.350000,4700000000.000000,1.000000,1.000000,5705000000.000000,256725000.000000
2028,4.500000,0.350000,4900000000.000000,1.000000,1.000000,6180000000.000000,278100000.000000
2029,4.500000,0.350000,5100000000.000000,1.000000,1.000000,6635000000.000000,298575000.000000
2030,4.500000,0.350000,5300000000.000000,1.000000,1.000000,7090000000.000000,319050000.000000
2031,4.500000,0.350000,5500000000.000000,1.000000,1.000000,7555000000.000000,339975000.000000
2032,4.500000,0.350000,5500000000.000000,1.000000,1.000000,7930000000.000000,356850000.000000
2033,4.500000,0.350000,5500000000.000000,1.000000,1.000000,8245000000.000000,371025000.000000
2034,4.500000,0.350000,5500000000.000000,1.000000,1.000000,8530000000.000000,383850000.000000
2035,4.500000,0.350000,5500000000.000000,1.000000,1.000000,8805000000.000000,396225000.000000
2036,4.500000,0.350000,5500000000.000000,1.000000,1.000000,9080000000.000000,408600000.000000
