fiscal_year,cp_rate,rate_hike_above_loudoun,new_capex_this_year,ncf,refresh_factor,cp_av,cp_revenue
2027,10.000000,5.850000,2892380000.000000,0.724000,0.850000,4801190000.000000,480119000.000000
2028,10.000000,5.850000,2167760000.000000,0.632000,0.700000,4181213000.000000,418121300.000000
2029,10.000000,5.850000,1772760000.000000,0.632000,0.550000,3653572000.000000,365357200.000000
2030,10.000000,5.850000,1339840000.000000,0.632000,0.400000,3218176000.000000,321817600.000000
2031,10.000000,5.850000,869000000.000000,0.632000,0.250000,2824391000.000000,282439100.000000
2032,10.000000,5.850000,869000000.000000,0.632000,0.250000,2641901000.000000,264190100.000000
2033,10.000000,5.850000,869000000.000000,0.632000,0.250000,2593079000.000000,259307900.000000
2034,10.000000,5.850000,869000000.000000,0.632000,0.250000,2612987000.000000,261298700.000000
2035,10.000000,5.850000,869000000.000000,0.632000,0.250000,2656437000.000000,265643700.000000
2036,10.000000,5.850000,869000000.000000,0.632000,0.250000,2699887000.000000,269988700.000000
