fiscal_year,issuance_name,category,principal,interest,total,source,source_page,notes
# PWC debt-service schedule FY26-FY31 by tranche.
# Source: FY2026 Adopted Budget, Debt Service section (PWC-BUD-FY26-DEBT), pp. 416-425 (PDF pp. 1-10 of afy26_debt_service.pdf).
# NOTE: The CIP/Debt Service book presents COMBINED principal+interest ("total") per project per fiscal year, not separately.
# Principal and interest columns are left as 0 where the source does not disaggregate; total is authoritative.
# Aggregate FY26 principal/interest split documented on p. 419: existing-debt principal $105.2M + interest $43.6M.
# Categories: "county_existing" (amortizing pre-FY25 County GF debt), "schools_existing", "county_new_cip" (FY26-FY31 new issuances), "funding_offset" (transfer-in sources that reduce net GF debt service).
#
# --- FY26 NEW COUNTY CIP DEBT SERVICE ---
FY2026,Countywide Space,county_new_cip,0,0,109407,PWC-BUD-FY26-DEBT,420,General Fund supported. Issuance FY26; TBD amount.
FY2026,Fire and Rescue Station #27,county_new_cip,0,0,0,PWC-BUD-FY26-DEBT,420,FY26 no debt service yet; issues FY27.
FY2026,Fire and Rescue Station #30,county_new_cip,0,0,0,PWC-BUD-FY26-DEBT,420,Issues FY28.
FY2026,Fire and Rescue Station #3,county_new_cip,0,0,0,PWC-BUD-FY26-DEBT,420,Issues FY28.
FY2026,Fire and Rescue Station #29,county_new_cip,0,0,0,PWC-BUD-FY26-DEBT,420,Issues FY29.
FY2026,Fire and Rescue Station #2,county_new_cip,0,0,0,PWC-BUD-FY26-DEBT,420,Not yet issued by FY31 in plan.
FY2026,Homeless Navigation Center-East,county_new_cip,0,0,268047,PWC-BUD-FY26-DEBT,420,$24.3M issuance FY26.
FY2026,Homeless Navigation Center-West,county_new_cip,0,0,87750,PWC-BUD-FY26-DEBT,420,Multiple-year issuance; TBD amount.
FY2026,Judicial Center Expansion,county_new_cip,0,0,1094068,PWC-BUD-FY26-DEBT,420,$200.0M multi-year issuance.
FY2026,Juvenile Services Center,county_new_cip,0,0,0,PWC-BUD-FY26-DEBT,420,Issues FY28.
FY2026,Mobility Bond Referendum,county_new_cip,0,0,7566,PWC-BUD-FY26-DEBT,420,"$241.9M multi-year; transportation-restricted revenues (NVTA 30%) support."
FY2026,Parks & Recreation Bond Referendum,county_new_cip,0,0,466802,PWC-BUD-FY26-DEBT,420,$41.0M multi-year issuance.
FY2026,Public Safety Training Center Expansion,county_new_cip,0,0,0,PWC-BUD-FY26-DEBT,420,Issues FY27.
FY2026,Solid Waste Facility Infrastructure,county_new_cip,0,0,319988,PWC-BUD-FY26-DEBT,420,$15.7M; supported by Solid Waste enterprise fund.
FY2026,SUBTOTAL_new_cip,county_new_cip,0,0,2353628,PWC-BUD-FY26-DEBT,420,FY26 Subtotal new CIP debt service.
FY2026,SUBTOTAL_county_existing,county_existing,0,0,30365417,PWC-BUD-FY26-DEBT,421,"Total County existing debt service; see afy26_debt_service.txt lines 317-362 for 46-line detail."
FY2026,SUBTOTAL_schools_existing,schools_existing,0,0,118462043,PWC-BUD-FY26-DEBT,422-424,"Schools existing debt service; see afy26_debt_service.txt lines 373-546 for 170-line detail."
FY2026,SUBTOTAL_admin_expenses,debt_admin,0,0,200000,PWC-BUD-FY26-DEBT,420,Other debt costs $180K + investment fees $20K.
FY2026,GRAND_TOTAL,total,105200000,43600000,151181088,PWC-BUD-FY26-DEBT,419,"FY26 existing principal $105.2M + interest $43.6M per page 419. Grand total = existing + new + admin."
#
# --- FY27 ---
FY2027,Countywide Space,county_new_cip,0,0,1468875,PWC-BUD-FY26-DEBT,420,
FY2027,Fire and Rescue Station #27,county_new_cip,0,0,434015,PWC-BUD-FY26-DEBT,420,$19.9M issuance.
FY2027,Fire and Rescue Station #30,county_new_cip,0,0,0,PWC-BUD-FY26-DEBT,420,
FY2027,Fire and Rescue Station #3,county_new_cip,0,0,0,PWC-BUD-FY26-DEBT,420,
FY2027,Fire and Rescue Station #29,county_new_cip,0,0,0,PWC-BUD-FY26-DEBT,420,
FY2027,Fire and Rescue Station #2,county_new_cip,0,0,0,PWC-BUD-FY26-DEBT,420,
FY2027,Homeless Navigation Center-East,county_new_cip,0,0,1410792,PWC-BUD-FY26-DEBT,420,
FY2027,Homeless Navigation Center-West,county_new_cip,0,0,370500,PWC-BUD-FY26-DEBT,420,
FY2027,Judicial Center Expansion,county_new_cip,0,0,5780617,PWC-BUD-FY26-DEBT,420,
FY2027,Juvenile Services Center,county_new_cip,0,0,0,PWC-BUD-FY26-DEBT,420,
FY2027,Mobility Bond Referendum,county_new_cip,0,0,323540,PWC-BUD-FY26-DEBT,420,
FY2027,Parks & Recreation Bond Referendum,county_new_cip,0,0,1740307,PWC-BUD-FY26-DEBT,420,
FY2027,Public Safety Training Center Expansion,county_new_cip,0,0,642015,PWC-BUD-FY26-DEBT,420,$29.4M issuance.
FY2027,Solid Waste Facility Infrastructure,county_new_cip,0,0,1417500,PWC-BUD-FY26-DEBT,420,
FY2027,SUBTOTAL_new_cip,county_new_cip,0,0,13588161,PWC-BUD-FY26-DEBT,420,
FY2027,SUBTOTAL_county_existing,county_existing,0,0,27949357,PWC-BUD-FY26-DEBT,421,
FY2027,SUBTOTAL_schools_existing,schools_existing,0,0,111655291,PWC-BUD-FY26-DEBT,422-424,
FY2027,SUBTOTAL_admin_expenses,debt_admin,0,0,200000,PWC-BUD-FY26-DEBT,420,
FY2027,GRAND_TOTAL,total,0,0,153192809,PWC-BUD-FY26-DEBT,420,
#
# --- FY28 ---
FY2028,Countywide Space,county_new_cip,0,0,5456998,PWC-BUD-FY26-DEBT,420,Jump from partial FY27 to stabilized annual service.
FY2028,Fire and Rescue Station #27,county_new_cip,0,0,1858989,PWC-BUD-FY26-DEBT,420,
FY2028,Fire and Rescue Station #30,county_new_cip,0,0,731756,PWC-BUD-FY26-DEBT,420,$35.0M issuance FY28.
FY2028,Fire and Rescue Station #3,county_new_cip,0,0,222058,PWC-BUD-FY26-DEBT,420,$30.0M issuance FY28.
FY2028,Fire and Rescue Station #29,county_new_cip,0,0,0,PWC-BUD-FY26-DEBT,420,
FY2028,Fire and Rescue Station #2,county_new_cip,0,0,0,PWC-BUD-FY26-DEBT,420,
FY2028,Homeless Navigation Center-East,county_new_cip,0,0,2242054,PWC-BUD-FY26-DEBT,420,
FY2028,Homeless Navigation Center-West,county_new_cip,0,0,4361725,PWC-BUD-FY26-DEBT,420,
