department,fy26_gf_appropriation_usd,fully_loaded_rate_usd,base_salary_avg_usd,benefits_load_pct,fy26_authorized_fte,personnel_share_of_dept_budget,personnel_convertible,source_doc,source_page,notes
PWCS (Schools instructional),991609044,100200,76500,0.3100,7100.00,,true,PWC-BUD-FY26-REV; PWCS-ADOPTED-FY26,p.63; sched 22,"Shares of GF appropriation: 57.23% Schools transfer is the single largest GF appropriation line (PWC-BUD-FY26-REV p.63 = $991.6M). FTE: PWCS FY26 Adopted Budget, Personnel Services section: ~7,100 classroom instructional positions (licensed teachers + instructional support). Base salary: PWCS 2025-26 Teacher Salary Schedule, BA+0 step 10 = $76,500 is the mid-career average (pwcs.edu). Benefits load 31% = VRS teacher 18.53% (state Va Code 51.1-145) + FICA-Medicare 7.65% + group life 1.34% + disability 1.18% + PWCS health employer contribution ~13% of base + Retiree Health Credit ~1.5%, minus overlap. Rounded to $100,200 = $76,500 x 1.31."
Police,160673820,145436,,,972.20,0.88,true,PWC-BUD-FY26-EXP; PWC-BUD-FY26-SUMM,p.65; p.44,"Police GF $160,673,820 adopted; 972.20 authorized FTE (SUMM p.44). Personnel share 88% derived from PWC-BUD-FY26-COMP personnel + fringe vs. agency total (expenditure_notes.md §4). Rate = $160.67M x 0.88 / 972.20 = $145,436."
Fire & Rescue,147660314,139611,,,856.70,0.81,true,PWC-BUD-FY26-EXP; PWC-BUD-FY26-SUMM,p.65; p.44,"Fire & Rescue GF $147,660,314 (excludes Fire Levy special-revenue $93.45M which contains station debt service and capital, not personnel). 856.70 authorized FTE. Personnel 81%. Rate = $147.66M x 0.81 / 856.70 = $139,611."
Sheriff,19595499,135475,,,121.50,0.84,true,PWC-BUD-FY26-EXP; PWC-BUD-FY26-SUMM,p.65; p.44,"Sheriff GF $19,595,499; 121.50 FTE; personnel 84% (uniform sworn rank). Rate = $19.60M x 0.84 / 121.50 = $135,475."
Adult Detention Center,71560566,149753,,,401.40,0.84,true,PWC-BUD-FY26-EXP p.249; PWC-BUD-FY26-SUMM p.44,p.249; p.44,"ADC component unit $71,560,566 (includes 14.94% YoY rise for FY26 uniform market adjustment 5.72-9.34%). 401.40 FTE. Personnel 84%. Rate = $71.56M x 0.84 / 401.40 = $149,753."
Judicial / Courts,53310834,98132,,,358.55,0.66,true,PWC-BUD-FY26-EXP; PWC-BUD-FY26-SUMM,p.65; p.44,"Aggregate: Circuit Court Judges $2.10M + Clerk $7.08M + Commonwealth Atty $15.06M + Criminal Justice Svcs $8.48M + GDC $2.37M + JDR $0.79M + Magistrates $0.12M + Public Safety Comms $17.31M = $53.31M. FTE: Judges 16 + Clerk 57 + CA 94 + CJS 54.55 + GDC 6 + JDR 5 + PSC 126 = 358.55. Personnel 66% (state-reimbursed positions, attorney mix). Rate = $53.31M x 0.66 / 358.55 = $98,132."
General Government,120975578,126871,,,667.47,0.70,true,PWC-BUD-FY26-EXP; PWC-BUD-FY26-SUMM,p.65; p.44,"GOPI subtotal $120.98M (BoCS, County Attorney, Elections, Facilities & Fleet, Executive Mgmt, Finance, HR, Human Rights, IT, OMB, Procurement). 667.47 FTE. Personnel 70% (civilian typical; Facilities + IT have higher non-personnel fleet/equipment). Rate = $120.98M x 0.70 / 667.47 = $126,871."
Community Development,24981473,107819,,,492.00,,true,PWC-BUD-FY26-EXP; PWC-BUD-FY26-SUMM,"p.65, p.67; p.44","MEGR: GF $24.98M + Site & Bldg Dev SR fund $36.32M + Stormwater Mgmt $15.48M + PW Construction Crew ISF $2.50M + Transportation/Svc Districts $0.39M = $79.66M total comp envelope (departments fund staff across these). 492.00 FTE. Weighted personnel share 66.6% (civil engineers, inspectors, planners). Rate = $79.66M x 0.666 / 492.00 = $107,819. Appropriation for share: GF-only $24.98M so denominator is consistent with other GF dept lines."
Social Services,91479101,131083,,,383.83,0.55,true,PWC-BUD-FY26-EXP; PWC-BUD-FY26-SUMM,p.66; p.44,"Social Services $91.48M (includes CSA state pass-through which is not personnel). 383.83 FTE. Personnel share 55% (case workers + service delivery; the other 45% is direct client pass-through, subsidies). Rate = $91.48M x 0.55 / 383.83 = $131,083."
Community Services (Behavioral Health),93779416,147542,,,476.71,0.75,true,PWC-BUD-FY26-EXP; PWC-BUD-FY26-SUMM,p.66; p.44,"Community Services Board (Behavioral Health + Developmental + Early Intervention) $93.78M. 476.71 FTE. Personnel 75% (licensed clinicians dominate cost). Rate = $93.78M x 0.75 / 476.71 = $147,542."
Parks & Recreation,49803465,76927,,,453.19,0.70,true,PWC-BUD-FY26-EXP; PWC-BUD-FY26-SUMM,p.66; p.44,"Parks & Rec GF $49.80M. 453.19 FTE. Personnel 70% (heavy P/T program staff; non-personnel in capital/maintenance). Rate = $49.80M x 0.70 / 453.19 = $76,927."
Library,26289416,97851,,,209.56,0.78,true,PWC-BUD-FY26-EXP; PWC-BUD-FY26-SUMM,p.66; p.44,"Library $26.29M. 209.56 FTE. Personnel 78% (librarian + P/T shelvers). Rate = $26.29M x 0.78 / 209.56 = $97,851."
Other Human Services,31119821,109761,,,184.29,0.65,true,PWC-BUD-FY26-EXP; PWC-BUD-FY26-SUMM,p.66; p.44,"Aggregate: Area Agency on Aging $10.75M + Housing & Community Dev $0.65M + Public Health $5.66M + Virginia Cooperative Extension $1.35M + Youth Services $12.72M = $31.12M. FTE: 38+33+8.60+8.19+96.50=184.29. Personnel 65%. Rate = $31.12M x 0.65 / 184.29 = $109,761."
Non-Departmental,48084874,,,,0.00,,false,PWC-BUD-FY26-EXP,p.66,Administrative & Support Services $33.73M + Contingency $1.63M + Countywide Insurance $12.56M + Unemployment Insurance $0.17M = $48.08M. Not FTE-convertible (no personnel); labeled but excluded from layoff calc.
Debt Service (existing + new CIP),56493595,,,,0.00,,false,PWC-BUD-FY26-EXP,p.65,Debt service $56.49M GF + Debt Service for 13th High School $0.76M. Not FTE-convertible (legally committed bond payments).
Other Transfers,24041760,,,,0.00,,false,PWC-BUD-FY26-EXP,p.65,Transfer to General Fund & Capital Reserve $2.40M + Transfer to All Other Projects $15.22M + misc transfers $1.67M + Class Size Reduction Grant $1.00M + Site Dev Review $1.97M + Building Development $1.66M. Not FTE-convertible; operational pass-through and capital pay-as-you-go.
