fiscal_year,scenario,block,line_item,amount_usd,basis,source_key,notes
FY2027,base,schools_transfer,57_23_pct_of_general_revenue,1034664432.11,committed,PWC-BUD-FY26-REV,Schools share = 57.23% of General Revenue base (2013 Agreement).
FY2028,base,schools_transfer,57_23_pct_of_general_revenue,1081494776.21,committed,PWC-BUD-FY26-REV,Schools share = 57.23% of General Revenue base (2013 Agreement).
FY2029,base,schools_transfer,57_23_pct_of_general_revenue,1130150228.51,committed,PWC-BUD-FY26-REV,Schools share = 57.23% of General Revenue base (2013 Agreement).
FY2030,base,schools_transfer,57_23_pct_of_general_revenue,1181155023.81,committed,PWC-BUD-FY26-REV,Schools share = 57.23% of General Revenue base (2013 Agreement).
FY2031,base,schools_transfer,57_23_pct_of_general_revenue,1234461715.87,extrapolated,PWC-BUD-FY26-REV,FY31 GR base extrapolated at 4.51%/yr (FY29-FY30 adopted-plan growth). Schools share = 57.23%.
FY2027,base,public_safety,gf_personnel,327909641.28,committed,PWC-BUD-FY26-EXP+COMP,"FY26 base $315,297,732 grown 4.00%/yr"
FY2027,base,public_safety,gf_nonpersonnel,108777717.54,committed,PWC-BUD-FY26-EXP+BLS-CPI,"FY26 base $105,099,244 grown 3.50%/yr"
FY2027,base,public_safety,fire_levy_operating,99055281.74,committed,PWC-BUD-FY26-EXP,"Fire Levy is a special-revenue fund (not GF), but station operations are contractual once approved. Included in committed-expenditure envelope per CBA provisions."
FY2028,base,public_safety,gf_personnel,341026026.93,committed,PWC-BUD-FY26-EXP+COMP,"FY26 base $315,297,732 grown 4.00%/yr"
FY2028,base,public_safety,gf_nonpersonnel,112584937.65,committed,PWC-BUD-FY26-EXP+BLS-CPI,"FY26 base $105,099,244 grown 3.50%/yr"
FY2028,base,public_safety,fire_levy_operating,104998598.64,committed,PWC-BUD-FY26-EXP,"Fire Levy is a special-revenue fund (not GF), but station operations are contractual once approved. Included in committed-expenditure envelope per CBA provisions."
FY2029,base,public_safety,gf_personnel,354667068.01,committed,PWC-BUD-FY26-EXP+COMP,"FY26 base $315,297,732 grown 4.00%/yr"
FY2029,base,public_safety,gf_nonpersonnel,116525410.47,committed,PWC-BUD-FY26-EXP+BLS-CPI,"FY26 base $105,099,244 grown 3.50%/yr"
FY2029,base,public_safety,fire_levy_operating,111298514.56,committed,PWC-BUD-FY26-EXP,"Fire Levy is a special-revenue fund (not GF), but station operations are contractual once approved. Included in committed-expenditure envelope per CBA provisions."
FY2030,base,public_safety,gf_personnel,368853750.73,committed,PWC-BUD-FY26-EXP+COMP,"FY26 base $315,297,732 grown 4.00%/yr"
FY2030,base,public_safety,gf_nonpersonnel,120603799.84,committed,PWC-BUD-FY26-EXP+BLS-CPI,"FY26 base $105,099,244 grown 3.50%/yr"
FY2030,base,public_safety,fire_levy_operating,117976425.44,committed,PWC-BUD-FY26-EXP,"Fire Levy is a special-revenue fund (not GF), but station operations are contractual once approved. Included in committed-expenditure envelope per CBA provisions."
FY2031,base,public_safety,gf_personnel,383607900.76,committed,PWC-BUD-FY26-EXP+COMP,"FY26 base $315,297,732 grown 4.00%/yr"
FY2031,base,public_safety,gf_nonpersonnel,124824932.83,committed,PWC-BUD-FY26-EXP+BLS-CPI,"FY26 base $105,099,244 grown 3.50%/yr"
FY2031,base,public_safety,fire_levy_operating,125055010.96,committed,PWC-BUD-FY26-EXP,"Fire Levy is a special-revenue fund (not GF), but station operations are contractual once approved. Included in committed-expenditure envelope per CBA provisions."
FY2027,base,general_government,gopi_megr_gf,151220797.78,committed,PWC-BUD-FY26-EXP,"Growth 3.50%/yr over FY26 $146,107,051"
FY2027,base,general_government,non_departmental_gf,49767844.59,committed,PWC-BUD-FY26-EXP,"Admin & support, contingency, countywide insurance, unemployment; grown with operating inflation."
FY2027,base,community_services,hwes_gf,303507149.80,committed,PWC-BUD-FY26-EXP,"Health, Wellbeing & Environmental Sustainability: includes Social Services, Community Services, Library, Parks & Rec, Public Health, Housing, Youth Services."
FY2028,base,general_government,gopi_megr_gf,156513525.71,committed,PWC-BUD-FY26-EXP,"Growth 3.50%/yr over FY26 $146,107,051"
FY2028,base,general_government,non_departmental_gf,51509719.15,committed,PWC-BUD-FY26-EXP,"Admin & support, contingency, countywide insurance, unemployment; grown with operating inflation."
FY2028,base,community_services,hwes_gf,314129900.05,committed,PWC-BUD-FY26-EXP,"Health, Wellbeing & Environmental Sustainability: includes Social Services, Community Services, Library, Parks & Rec, Public Health, Housing, Youth Services."
FY2029,base,general_government,gopi_megr_gf,161991499.11,committed,PWC-BUD-FY26-EXP,"Growth 3.50%/yr over FY26 $146,107,051"
FY2029,base,general_government,non_departmental_gf,53312559.32,committed,PWC-BUD-FY26-EXP,"Admin & support, contingency, countywide insurance, unemployment; grown with operating inflation."
FY2029,base,community_services,hwes_gf,325124446.55,committed,PWC-BUD-FY26-EXP,"Health, Wellbeing & Environmental Sustainability: includes Social Services, Community Services, Library, Parks & Rec, Public Health, Housing, Youth Services."
FY2030,base,general_government,gopi_megr_gf,167661201.58,committed,PWC-BUD-FY26-EXP,"Growth 3.50%/yr over FY26 $146,107,051"
