fiscal_year,scenario,revenue_line,amount_usd
2027,low,residential_real_estate,621770233.0
2028,low,residential_real_estate,598839464.0
2029,low,residential_real_estate,576825925.0
2030,low,residential_real_estate,555692928.0
2031,low,residential_real_estate,535405251.0
2027,low,non_dc_commercial_real_estate,162483837.0
2028,low,non_dc_commercial_real_estate,157396822.0
2029,low,non_dc_commercial_real_estate,152462418.0
2030,low,non_dc_commercial_real_estate,147676045.0
2031,low,non_dc_commercial_real_estate,143033264.0
2027,low,personal_property_vehicles,208227785.0
2028,low,personal_property_vehicles,201762729.0
2029,low,personal_property_vehicles,195498399.0
2030,low,personal_property_vehicles,189428565.0
2031,low,personal_property_vehicles,183547187.0
2027,low,non_dc_business_tangible,21120000.0
2028,low,non_dc_business_tangible,20275200.0
2029,low,non_dc_business_tangible,19464192.0
2030,low,non_dc_business_tangible,18685624.0
2031,low,non_dc_business_tangible,17938199.0
2027,low,local_sales_tax,100204820.0
2028,low,local_sales_tax,97961034.0
2029,low,local_sales_tax,95767490.0
2030,low,local_sales_tax,93623065.0
2031,low,local_sales_tax,91526657.0
2027,low,bpol_tax,35080891.0
2028,low,bpol_tax,33111870.0
2029,low,bpol_tax,31253367.0
2030,low,bpol_tax,29499178.0
2031,low,bpol_tax,27843448.0
2027,low,food_and_beverage_tax,27923840.0
2028,low,food_and_beverage_tax,21697136.0
2029,low,food_and_beverage_tax,21073648.0
2030,low,food_and_beverage_tax,20468075.0
2031,low,food_and_beverage_tax,19879905.0
2027,low,consumer_utility_tax,15345000.0
2028,low,consumer_utility_tax,15191550.0
2029,low,consumer_utility_tax,15039634.0
2030,low,consumer_utility_tax,14889238.0
2031,low,consumer_utility_tax,14740346.0
2027,low,communications_sales_tax,10925000.0
2028,low,communications_sales_tax,10378750.0
2029,low,communications_sales_tax,9859812.0
2030,low,communications_sales_tax,9366822.0
2031,low,communications_sales_tax,8898481.0
2027,low,motor_vehicle_license,13323050.0
2028,low,motor_vehicle_license,13256435.0
2029,low,motor_vehicle_license,13190153.0
2030,low,motor_vehicle_license,13124202.0
2031,low,motor_vehicle_license,13058581.0
2027,low,recordation_tax,2716000.0
2028,low,recordation_tax,2634520.0
2029,low,recordation_tax,2555484.0
2030,low,recordation_tax,2478820.0
2031,low,recordation_tax,2404455.0
2027,low,transient_occupancy_tax,2574000.0
2028,low,transient_occupancy_tax,2548260.0
2029,low,transient_occupancy_tax,2522777.0
2030,low,transient_occupancy_tax,2497550.0
