county,fiscal_year,metric,value,unit,source_key,notes
# Stage 3b — Peer-County Panel for Non-DC CAPEX Spillover Benchmarking
# Prince William County Fiscal Risk Model. Built 2026-04-18.
# Fiscal years are calendar years for BPS (Census BPS is calendar-year),
# FY ending June 30 for VA APA Comparative Report (Exhibit B local revenue).
# All values are nominal USD unless noted. n_observations is county-year.
#
# Metric keys:
#   residential_permits_units     = total housing units authorized (BPS)
#   residential_permits_valuation = total valuation authorized (BPS, USD)
#   residential_permits_1unit     = 1-unit buildings (BPS)
#   residential_permits_5plus     = 5+-unit buildings (BPS)
#   fy_real_property_tax          = FY real-property tax revenue collected (VA APA Exhibit B)
#   fy_pp_general_tax             = FY personal property general (includes DC computer equip)
#   fy_other_local_taxes          = FY other local taxes (includes BPOL, meals, recordation, etc.)
#   fy_permit_privilege_fees      = FY permits, privilege fees, regulatory licenses revenue
#   fy_total_local_revenue        = FY total local revenue
#   loudoun_dc_assessed_value     = Loudoun data-center AV (commissioner of revenue, tax year)
#   loudoun_residential_av_change = Loudoun single-family-home assessed-value change YoY
#
# --- Loudoun County, VA (FIPS 51107) ---
# Regulatory event: 2025-03-18 by-right data-center elimination (CPA + ZOA).
# Predecessor debates 2022-2024 tightened approval cycles; event horizon Q2 2025.
Loudoun,2019,residential_permits_units,2875,units,CENSUS_BPS_co1912y,"Source: U.S. Census Bureau, Building Permits Survey, year-end 2019 county file"
Loudoun,2020,residential_permits_units,2493,units,CENSUS_BPS_co2012y,"Year-end 2020 county file"
Loudoun,2021,residential_permits_units,2099,units,CENSUS_BPS_co2112y,"Year-end 2021 county file"
Loudoun,2022,residential_permits_units,2330,units,CENSUS_BPS_co2212y,"Year-end 2022 county file"
Loudoun,2023,residential_permits_units,1781,units,CENSUS_BPS_co2312y,"Year-end 2023 county file"
Loudoun,2024,residential_permits_units,3317,units,CENSUS_BPS_co2412y,"Year-end 2024 county file; pre-event peak with grandfathering rush"
Loudoun,2025,residential_permits_units,1561,units,CENSUS_BPS_co2512y,"Year-end 2025 county file; FIRST FULL YEAR POST-EVENT — 53% YoY drop"
Loudoun,2019,residential_permits_valuation,533409971,USD,CENSUS_BPS_co1912y,
Loudoun,2020,residential_permits_valuation,450623564,USD,CENSUS_BPS_co2012y,
Loudoun,2021,residential_permits_valuation,474627026,USD,CENSUS_BPS_co2112y,
Loudoun,2022,residential_permits_valuation,438768729,USD,CENSUS_BPS_co2212y,
Loudoun,2023,residential_permits_valuation,352240117,USD,CENSUS_BPS_co2312y,
