fiscal_year,category_type,category,subcategory,amount_usd,source_doc,source_page,notes
# Prince William County baseline fiscal picture: FY23 actual, FY24 actual, FY25 actual (audited), FY26 adopted.
# All dollar values in raw USD (not thousands).
# Schools Transfer: PWC-Schools Revenue Sharing Agreement (2013 amendment) splits County General Revenues 57.23% to Schools / 42.77% to County.
# Sources: FY25 ACFR (PWC-ACFR-FY25), FY24 ACFR (PWC-ACFR-FY24), FY26 Adopted Revenues book (PWC-BUD-FY26-REV),
# Adopted Estimate of General Revenue FY26-FY30 (PWC-REV-FY26-30), FY25-FY29 (PWC-REV-FY25-29),
# TY2023 Data Center Industry Tax Revenue Report (PWC-DCR-TY23), TY2024 Data Center Revenue Report preliminary (PWC-DCR-TY24),
# 2025 Real Estate Assessments Annual Report (PWC-RE-2025), Principles of Sound Financial Management 2024 (PWC-PSFM-24),
# 2024 Fiscal Health Outlook Report (PWC-FHO-2024).
#
# --- REVENUES: General Fund / General Governmental (accrual basis from ACFR Table 2) ---
FY2023,revenue,general_property_tax,real_property,868571000,PWC-ACFR-FY25,287,ACFR Table 2 Changes in Net Position (accrual). Thousands converted to dollars.
FY2024,revenue,general_property_tax,real_property,941486000,PWC-ACFR-FY25,287,ACFR Table 2 (accrual). Represents RE tax collected in FY24 on TY2023 assessments.
FY2025,revenue,general_property_tax,real_property,1002132000,PWC-ACFR-FY25,287,ACFR Table 2 (accrual); audited FY25.
FY2026,revenue,general_property_tax,real_property,1025922000,PWC-BUD-FY26-REV,60,FY26 Adopted: Total All Real Estate Taxes (gross minus relief/exonerations/deferrals + public service + penalties).
FY2023,revenue,general_property_tax,personal_property_total,228713000,PWC-ACFR-FY25,287,"ACFR accrual basis; includes vehicles and business tangible (furniture & fixtures + computer equipment). Excludes PPTRA reimbursement."
FY2024,revenue,general_property_tax,personal_property_total,291398000,PWC-ACFR-FY25,287,ACFR accrual. Surge due to C&P rate increase from $2.15 to $3.70 (TY2024).
FY2025,revenue,general_property_tax,personal_property_total,354389000,PWC-ACFR-FY25,287,ACFR accrual. Continued data-center-driven growth.
FY2026,revenue,general_property_tax,personal_property_total,436245500,PWC-BUD-FY26-REV,60,"FY26 Adopted: $217.995M business tangible + $214.9M vehicles + prior-year $50K - deferral $1M + penalties $4.3M."
FY2026,revenue,general_property_tax,business_tangible_current,217995500,PWC-REV-FY26-30,3,"Includes data center C&P at $4.15 rate (up from $3.70). ~72% of BTP = computer equipment."
FY2026,revenue,general_property_tax,vehicles_current,214900000,PWC-REV-FY26-30,3,"First vehicle rate reduction since 1990: $3.70 to $3.50 per $100."
FY2023,revenue,other_local_tax,local_sales_tax,93246000,PWC-ACFR-FY25,287,ACFR Table 2 accrual.
FY2024,revenue,other_local_tax,local_sales_tax,95687000,PWC-ACFR-FY25,287,ACFR Table 2 accrual.
FY2025,revenue,other_local_tax,local_sales_tax,99421000,PWC-ACFR-FY25,287,ACFR Table 2 accrual.
FY2026,revenue,other_local_tax,local_sales_tax,102500000,PWC-BUD-FY26-REV,60,FY26 Adopted; 2.5% growth rate assumed.
FY2023,revenue,other_local_tax,food_and_beverage_tax,41127000,PWC-ACFR-FY25,287,Meals tax levy began July 1 2022; first partial-year revenue FY23.
FY2024,revenue,other_local_tax,food_and_beverage_tax,45096000,PWC-ACFR-FY25,287,Full-year actual.
FY2025,revenue,other_local_tax,food_and_beverage_tax,46438000,PWC-ACFR-FY25,287,Audited FY25 (4% rate still in effect).
FY2026,revenue,other_local_tax,food_and_beverage_tax,40250000,PWC-REV-FY26-30,20,"BOCS reducing rate from 4% to 3% effective 2026-01-01; structural revenue drop."
FY2023,revenue,other_local_tax,bpol_tax,34636000,PWC-ACFR-FY25,287,ACFR Table 2 accrual.
FY2024,revenue,other_local_tax,bpol_tax,38921579,PWC-REV-FY26-30,23,"Adopted FY26-30 revenue estimate cites FY24 actual $38,921,579."
FY2025,revenue,other_local_tax,bpol_tax,39572000,PWC-REV-FY26-30,23,FY25 Q3 revised estimate. Adopted revenue book FY26-30.
FY2026,revenue,other_local_tax,bpol_tax,37167000,PWC-REV-FY26-30,23,FY26 adopted.
FY2023,revenue,other_local_tax,consumer_utility_tax,15408000,PWC-ACFR-FY25,287,ACFR.
FY2024,revenue,other_local_tax,consumer_utility_tax,14658000,PWC-ACFR-FY25,287,ACFR.
FY2025,revenue,other_local_tax,consumer_utility_tax,14722000,PWC-ACFR-FY25,287,ACFR.
FY2026,revenue,other_local_tax,consumer_utility_tax,15500000,PWC-REV-FY26-30,21,FY26 adopted (cap-limited).
FY2023,revenue,other_local_tax,communications_sales_tax,12434177,PWC-REV-FY26-30,22,Adopted revenue book historical table.
FY2024,revenue,other_local_tax,communications_sales_tax,11272071,PWC-REV-FY26-30,22,Declining source (cord-cutting).
FY2025,revenue,other_local_tax,communications_sales_tax,12100000,PWC-REV-FY26-30,22,FY25 Q3 revised.
FY2026,revenue,other_local_tax,communications_sales_tax,11500000,PWC-REV-FY26-30,22,FY26 adopted.
FY2023,revenue,other_local_tax,recordation_tax,11138000,PWC-ACFR-FY25,287,Deed of conveyance and tax on deeds. ACFR accrual.
FY2024,revenue,other_local_tax,recordation_tax,11460000,PWC-ACFR-FY25,287,ACFR.
FY2025,revenue,other_local_tax,recordation_tax,13163000,PWC-ACFR-FY25,287,ACFR.
FY2026,revenue,other_local_tax,recordation_tax,2800000,PWC-REV-FY26-30,3,"Note: revenue estimate line 'Tax on Deeds' $2.8M; remainder flows to transportation-dedicated fund. FY26 adopted general fund share."
FY2023,revenue,other_local_tax,motor_vehicle_license,12947000,PWC-ACFR-FY25,287,ACFR.
FY2024,revenue,other_local_tax,motor_vehicle_license,12610447,PWC-REV-FY26-30,15,Adopted revenue book historical table.
FY2025,revenue,other_local_tax,motor_vehicle_license,13000000,PWC-REV-FY26-30,15,FY25 adopted/estimate.
FY2026,revenue,other_local_tax,motor_vehicle_license,13390000,PWC-REV-FY26-30,15,FY26 adopted.
FY2023,revenue,other_local_tax,transient_occupancy_tax,2927000,PWC-ACFR-FY25,287,"Included in 'other local taxes' ACFR line but reported separately; est. from FY26 adopted line $2.6M-$2.8M outyears."
FY2024,revenue,other_local_tax,transient_occupancy_tax,2541000,PWC-ACFR-FY25,287,Derived from FY24 ACFR Schedule 5 and FY26 adopted revenue trend. Labeled 'derived'.
FY2025,revenue,other_local_tax,transient_occupancy_tax,2600000,PWC-REV-FY26-30,3,FY26 adopted; close to estimate.
FY2026,revenue,other_local_tax,transient_occupancy_tax,2600000,PWC-REV-FY26-30,3,FY26 adopted.
FY2023,revenue,other_local_tax,cigarette_tax,3800000,PWC-ACFR-FY25,287,Derived from FY24 ACFR Schedule 2A and FY26 adopted history. Declining.
FY2024,revenue,other_local_tax,cigarette_tax,4003000,PWC-ACFR-FY25,287,Derived.
FY2025,revenue,other_local_tax,cigarette_tax,3575000,PWC-ACFR-FY25,191,"General fund actual FY25, from budget variance table."
FY2026,revenue,other_local_tax,cigarette_tax,3800000,PWC-REV-FY26-30,3,FY26 adopted; outyears decline to $3.0M.
FY2023,revenue,intergovernmental,state_revenue,199213000,PWC-ACFR-FY25,288,"ACFR governmental funds intergovernmental state (includes schools component unit state aid)."
FY2024,revenue,intergovernmental,state_revenue,211549000,PWC-ACFR-FY25,288,ACFR governmental funds.
FY2025,revenue,intergovernmental,state_revenue,173524000,PWC-ACFR-FY25,50,"ACFR Exhibit 5 for FY25 governmental funds: General $158.5M + special revenue $4.5M + capital $10.5M."
FY2026,revenue,intergovernmental,state_revenue,13095000,PWC-BUD-FY26-REV,61,"General Fund direct state revenue only (non-PPTRA non-categorical). Adopted. Does not include schools state aid."
FY2023,revenue,intergovernmental,federal_revenue,146744000,PWC-ACFR-FY25,288,ACFR governmental funds; ARPA tail.
FY2024,revenue,intergovernmental,federal_revenue,123633000,PWC-ACFR-FY25,288,ACFR governmental funds.
FY2025,revenue,intergovernmental,federal_revenue,103466000,PWC-ACFR-FY25,50,"ACFR governmental funds FY25: General $34.4M + special revenue $19.1M + capital $49.9M."
