Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
202511,01,001,3,6,Autauga County                                              ,190,190,77795344,0,0,0,0,0,0,0,0,0,190,190,77795344,0,0,0,0,0,0,0,0,0
202511,01,003,3,6,Baldwin County                                              ,2341,2341,794695136,6,12,1754655,1,4,388350,7,102,12109102,2258,2258,779400258,6,12,1754655,1,4,388350,7,102,12109102
202511,01,005,3,6,Barbour County                                              ,12,12,3454900,0,0,0,0,0,0,0,0,0,12,12,3454900,0,0,0,0,0,0,0,0,0
202511,01,007,3,6,Bibb County                                                 ,5,5,1517215,0,0,0,0,0,0,0,0,0,5,5,1517215,0,0,0,0,0,0,0,0,0
202511,01,009,3,6,Blount County                                               ,15,15,2493332,0,0,0,1,4,210000,0,0,0,9,9,1687000,0,0,0,1,4,210000,0,0,0
202511,01,011,3,6,Bullock County                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202511,01,013,3,6,Butler County                                               ,6,6,953646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202511,01,015,3,6,Calhoun County                                              ,127,127,20151778,4,8,1100000,0,0,0,0,0,0,112,112,16077850,4,8,1100000,0,0,0,0,0,0
202511,01,017,3,6,Chambers County                                             ,36,36,6259277,0,0,0,0,0,0,2,56,13249827,32,32,5474849,0,0,0,0,0,0,2,56,13249827
202511,01,019,3,6,Cherokee County                                             ,20,20,3876100,0,0,0,0,0,0,0,0,0,13,13,2390000,0,0,0,0,0,0,0,0,0
202511,01,021,3,6,Chilton County                                              ,66,66,13436115,0,0,0,0,0,0,0,0,0,66,66,13436115,0,0,0,0,0,0,0,0,0
202511,01,023,3,6,Choctaw County                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202511,01,025,3,6,Clarke County                                               ,9,9,2111512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202511,01,027,3,6,Clay County                                                 ,9,9,1400253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202511,01,029,3,6,Cleburne County                                             ,6,6,1547133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202511,01,031,3,6,Coffee County                                               ,192,192,50247090,0,0,0,0,0,0,0,0,0,186,186,48005088,0,0,0,0,0,0,0,0,0
202511,01,033,3,6,Colbert County                                              ,74,74,10600152,0,0,0,0,0,0,0,0,0,45,45,6219834,0,0,0,0,0,0,0,0,0
202511,01,035,3,6,Conecuh County                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202511,01,037,3,6,Coosa County                                                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202511,01,039,3,6,Covington County                                            ,14,14,2826257,0,0,0,0,0,0,0,0,0,8,8,1620000,0,0,0,0,0,0,0,0,0
202511,01,041,3,6,Crenshaw County                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202511,01,043,3,6,Cullman County                                              ,170,170,31279236,0,0,0,0,0,0,0,0,0,157,157,29291367,0,0,0,0,0,0,0,0,0
202511,01,045,3,6,Dale County                                                 ,25,25,3375479,0,0,0,0,0,0,0,0,0,23,23,2882890,0,0,0,0,0,0,0,0,0
