scenario,fiscal_year,metric,value,unit
Pre-Cancellation Digital Gateway,2027,total_revenue,2222323539.74,USD
Pre-Cancellation Digital Gateway,2027,split_base_eligible_for_schools_transfer,1807905700.0,USD
Pre-Cancellation Digital Gateway,2027,schools_transfer,1034664432.11,USD
Pre-Cancellation Digital Gateway,2027,total_committed_expenditure,2265070267.84,USD
Pre-Cancellation Digital Gateway,2027,surplus_or_deficit,-42746728.10000038,USD
Pre-Cancellation Digital Gateway,2027,real_estate_tax_revenue,1017102690.2,USD
Pre-Cancellation Digital Gateway,2027,assessed_value_base,144439894200.0,USD
Pre-Cancellation Digital Gateway,2027,required_re_tax_rate_effective_per_100,0.7337650198168038,USD_per_100_AV
Pre-Cancellation Digital Gateway,2027,required_re_tax_rate_nominal_per_100,0.8911408953807296,USD_per_100_AV
Pre-Cancellation Digital Gateway,2027,required_re_rate_delta_vs_fy26_nominal,-0.014859104619270425,USD_per_100_AV
Pre-Cancellation Digital Gateway,2027,required_re_rate_delta_vs_fy27_nominal,0.026140895380729612,USD_per_100_AV
Pre-Cancellation Digital Gateway,2027,debt_service_total,153192809.0,USD
Pre-Cancellation Digital Gateway,2027,debt_service_to_revenue_ratio,0.06893362116747535,fraction
Pre-Cancellation Digital Gateway,2027,debt_service_headroom_vs_10pct_cap,69039544.97399998,USD
Pre-Cancellation Digital Gateway,2027,debt_service_cap_breached,0.0,boolean
Pre-Cancellation Digital Gateway,2027,unassigned_gf_balance_eoy,91977271.89999962,USD
Pre-Cancellation Digital Gateway,2027,unassigned_gf_balance_policy_floor_7_5pct,166674265.48049998,USD
Pre-Cancellation Digital Gateway,2027,unassigned_gf_balance_floor_breached,1.0,boolean
Pre-Cancellation Digital Gateway,2028,total_revenue,2317922647.6444,USD
Pre-Cancellation Digital Gateway,2028,split_base_eligible_for_schools_transfer,1889734014.0,USD
Pre-Cancellation Digital Gateway,2028,schools_transfer,1081494776.2122002,USD
Pre-Cancellation Digital Gateway,2028,total_committed_expenditure,2382590116.3422003,USD
Pre-Cancellation Digital Gateway,2028,surplus_or_deficit,-64667468.69780016,USD
Pre-Cancellation Digital Gateway,2028,real_estate_tax_revenue,1051801175.4,USD
Pre-Cancellation Digital Gateway,2028,assessed_value_base,151661888910.0,USD
Pre-Cancellation Digital Gateway,2028,required_re_tax_rate_effective_per_100,0.736156362103825,USD_per_100_AV
Pre-Cancellation Digital Gateway,2028,required_re_tax_rate_nominal_per_100,0.8940451260939216,USD_per_100_AV
Pre-Cancellation Digital Gateway,2028,required_re_rate_delta_vs_fy26_nominal,-0.011954873906078411,USD_per_100_AV
Pre-Cancellation Digital Gateway,2028,required_re_rate_delta_vs_fy27_nominal,0.029045126093921625,USD_per_100_AV
Pre-Cancellation Digital Gateway,2028,debt_service_total,161363914.0,USD
Pre-Cancellation Digital Gateway,2028,debt_service_to_revenue_ratio,0.06961574587658775,fraction
Pre-Cancellation Digital Gateway,2028,debt_service_headroom_vs_10pct_cap,70428350.76444003,USD
Pre-Cancellation Digital Gateway,2028,debt_service_cap_breached,0.0,boolean
Pre-Cancellation Digital Gateway,2028,unassigned_gf_balance_eoy,27309803.20219946,USD
Pre-Cancellation Digital Gateway,2028,unassigned_gf_balance_policy_floor_7_5pct,173844198.57333001,USD
Pre-Cancellation Digital Gateway,2028,unassigned_gf_balance_floor_breached,1.0,boolean
Pre-Cancellation Digital Gateway,2029,total_revenue,2417302184.663064,USD
Pre-Cancellation Digital Gateway,2029,split_base_eligible_for_schools_transfer,1974751404.0,USD
Pre-Cancellation Digital Gateway,2029,schools_transfer,1130150228.5092,USD
Pre-Cancellation Digital Gateway,2029,total_committed_expenditure,2510921724.5292,USD
Pre-Cancellation Digital Gateway,2029,surplus_or_deficit,-93619539.86613607,USD
Pre-Cancellation Digital Gateway,2029,real_estate_tax_revenue,1085399069.0,USD
Pre-Cancellation Digital Gateway,2029,assessed_value_base,159244983355.50003,USD
Pre-Cancellation Digital Gateway,2029,required_re_tax_rate_effective_per_100,0.740380377467894,USD_per_100_AV
Pre-Cancellation Digital Gateway,2029,required_re_tax_rate_nominal_per_100,0.8991750964958606,USD_per_100_AV
Pre-Cancellation Digital Gateway,2029,required_re_rate_delta_vs_fy26_nominal,-0.006824903504139446,USD_per_100_AV
Pre-Cancellation Digital Gateway,2029,required_re_rate_delta_vs_fy27_nominal,0.03417509649586059,USD_per_100_AV
Pre-Cancellation Digital Gateway,2029,debt_service_total,171711276.0,USD
Pre-Cancellation Digital Gateway,2029,debt_service_to_revenue_ratio,0.07103426170275604,fraction
Pre-Cancellation Digital Gateway,2029,debt_service_headroom_vs_10pct_cap,70018942.46630642,USD
Pre-Cancellation Digital Gateway,2029,debt_service_cap_breached,0.0,boolean
Pre-Cancellation Digital Gateway,2029,unassigned_gf_balance_eoy,-66309736.663936615,USD
Pre-Cancellation Digital Gateway,2029,unassigned_gf_balance_policy_floor_7_5pct,181297663.8497298,USD
Pre-Cancellation Digital Gateway,2029,unassigned_gf_balance_floor_breached,1.0,boolean
Pre-Cancellation Digital Gateway,2030,total_revenue,2521406600.479848,USD
Pre-Cancellation Digital Gateway,2030,split_base_eligible_for_schools_transfer,2063873884.0,USD
Pre-Cancellation Digital Gateway,2030,schools_transfer,1181155023.8132,USD
