fiscal_year,department,annual_gap_capex_spillover_usd,dept_share_of_gf_appr,dept_cut_allocated_usd,fully_loaded_rate_usd,dept_fte_layoff_equiv
2027,PWCS (Schools instructional),85292169.58,0.5267,44919675.06,100200,448
2027,Police,85292169.58,0.0853,7278489.27,145436,50
2027,Fire & Rescue,85292169.58,0.0784,6688980.26,139611,48
2027,Sheriff,85292169.58,0.0104,887671.86,135475,7
2027,Adult Detention Center,85292169.58,0.0380,3241678.15,149753,22
2027,Judicial / Courts,85292169.58,0.0283,2414969.24,98132,25
2027,General Government,85292169.58,0.0643,5480167.50,126871,43
2027,Community Development,85292169.58,0.0133,1131655.32,107819,10
2027,Social Services,85292169.58,0.0486,4143983.47,131083,32
2027,Community Services (Behavioral Health),85292169.58,0.0498,4248187.25,147542,29
2027,Parks & Recreation,85292169.58,0.0265,2256086.18,76927,29
2027,Library,85292169.58,0.0140,1190904.85,97851,12
2027,Other Human Services,85292169.58,0.0165,1409721.16,109761,13
2028,PWCS (Schools instructional),156044925.92,0.5267,82182073.71,100200,820
2028,Police,156044925.92,0.0853,13316243.73,145436,92
2028,Fire & Rescue,156044925.92,0.0784,12237716.95,139611,88
2028,Sheriff,156044925.92,0.0104,1624025.87,135475,12
2028,Adult Detention Center,156044925.92,0.0380,5930760.46,149753,40
2028,Judicial / Courts,156044925.92,0.0283,4418268.38,98132,45
2028,General Government,156044925.92,0.0643,10026152.88,126871,79
2028,Community Development,156044925.92,0.0133,2070401.91,107819,19
2028,Social Services,156044925.92,0.0486,7581558.75,131083,58
2028,Community Services (Behavioral Health),156044925.92,0.0498,7772203.09,147542,53
2028,Parks & Recreation,156044925.92,0.0265,4127586.43,76927,54
2028,Library,156044925.92,0.0140,2178800.95,97851,22
2028,Other Human Services,156044925.92,0.0165,2579132.81,109761,23
2029,PWCS (Schools instructional),241371090.90,0.5267,127119652.67,100200,1269
2029,Police,241371090.90,0.0853,20597634.03,145436,142
2029,Fire & Rescue,241371090.90,0.0784,18929363.28,139611,136
2029,Sheriff,241371090.90,0.0104,2512051.54,135475,19
2029,Adult Detention Center,241371090.90,0.0380,9173730.66,149753,61
2029,Judicial / Courts,241371090.90,0.0283,6834200.17,98132,70
2029,General Government,241371090.90,0.0643,15508504.64,126871,122
2029,Community Development,241371090.90,0.0133,3202508.28,107819,30
2029,Social Services,241371090.90,0.0486,11727193.91,131083,89
2029,Community Services (Behavioral Health),241371090.90,0.0498,12022083.56,147542,81
2029,Parks & Recreation,241371090.90,0.0265,6384571.83,76927,83
2029,Library,241371090.90,0.0140,3370180.47,97851,34
2029,Other Human Services,241371090.90,0.0165,3989415.85,109761,36
2030,PWCS (Schools instructional),311193823.93,0.5267,163892248.50,100200,1636
2030,Police,311193823.93,0.0853,26556024.06,145436,183
2030,Fire & Rescue,311193823.93,0.0784,24405163.53,139611,175
2030,Sheriff,311193823.93,0.0104,3238726.40,135475,24
2030,Adult Detention Center,311193823.93,0.0380,11827465.81,149753,79
2030,Judicial / Courts,311193823.93,0.0283,8811166.56,98132,90
2030,General Government,311193823.93,0.0643,19994734.43,126871,158
2030,Community Development,311193823.93,0.0133,4128915.33,107819,38
2030,Social Services,311193823.93,0.0486,15119583.31,131083,115
2030,Community Services (Behavioral Health),311193823.93,0.0498,15499777.30,147542,105
2030,Parks & Recreation,311193823.93,0.0265,8231471.78,76927,107
2030,Library,311193823.93,0.0140,4345090.97,97851,44
2030,Other Human Services,311193823.93,0.0165,5143455.95,109761,47
2031,PWCS (Schools instructional),373079996.94,0.5267,196485003.45,100200,1961
2031,Police,373079996.94,0.0853,31837140.12,145436,219
2031,Fire & Rescue,373079996.94,0.0784,29258544.46,139611,210
2031,Sheriff,373079996.94,0.0104,3882802.11,135475,29
2031,Adult Detention Center,373079996.94,0.0380,14179558.11,149753,95
2031,Judicial / Courts,373079996.94,0.0283,10563416.57,98132,108
2031,General Government,373079996.94,0.0643,23971026.69,126871,189
2031,Community Development,373079996.94,0.0133,4950020.21,107819,46
2031,Social Services,373079996.94,0.0486,18126369.04,131083,138
2031,Community Services (Behavioral Health),373079996.94,0.0498,18582171.06,147542,126
2031,Parks & Recreation,373079996.94,0.0265,9868439.63,76927,128
2031,Library,373079996.94,0.0140,5209186.04,97851,53
2031,Other Human Services,373079996.94,0.0165,6166319.45,109761,56
