locality,locality_type,cp_dc_rate_per_100,general_bpp_rate_per_100,real_estate_rate_per_100,separate_dc_class_authorized,locally_enacted_incentive_or_pilot,recent_rate_changes_5yr,notes,source_year,source
Loudoun County,county,4.15,4.15,0.805,yes,"None active; eliminated by-right DC zoning Mar 2025; FY27 RE rate held flat","Computer/DC equipment rate held at $4.20 since 1987; lowered to $4.15 for TY2026 alongside revised assessment schedule (longer DE depreciation curve)","DE schedule lengthened TY2026; reporting must include 5 prior years of capitalized cost",2026,"loudoun.gov/1570; loudoun.gov/1922; FY2027 adopted budget; loudoun.gov/CivicAlerts.aspx?aid=10535"
Prince William County,county,4.50,3.70,0.906,yes,"None; FY26-FY27 trajectory reflects revenue need post-Digital Gateway","2023 $1.65 -> $2.15 (TY23); $2.15 -> $3.70 (TY24/FY25); $3.70 -> $4.15 (TY25/FY26); $4.15 -> $4.50 (FY27 adopted)","C&P rate has risen +109% over four budget cycles; nominal RE rate rose to $0.906 FY26",2026,"PWC FY27 adopted budget; PWC 2024 Data Center Industry Tax Revenue Report; Prince William Times 2025-04"
Fairfax County,county,4.57,4.57,1.1225,no_separate_dc_class,"None","Computer equipment held at $4.57 (general PP rate); RE rate cut from $1.135 toward $1.1225 FY26","Fairfax does NOT use a separate DC class; DC equipment is taxed as general computer PP at $4.57",2026,"Fairfax County Tax Administration; Fairfax County EDA Quick Tax Facts 2025-2026"
City of Manassas,independent_city,2.15,3.60,1.43,yes,"Bank Franchise Tax (Va Code 58.1-1202) preempts BPP for bank-owned DC equipment; Brickyard data center tenant is a bank, hence pays $0 BPP to city","2024: data center C&P rate raised 72% to $2.15 (from $1.25); held at $2.15 for FY26","City has only one operating DC (Digital Realty/Brickyard); narrow campus footprint; tax stack technically attractive but bank tenant exemption neutralizes revenue",2026,"manassasva.gov/connect/commissioner_of_the_revenue; Prince William Times 2024-06; insidenova 2024-09"
City of Manassas Park,independent_city,3.50,3.50,1.295,no_separate_dc_class,"None published","Held flat over recent years; no large DC siting","No current DC operating in Manassas Park; treats computer equipment under general BPP class",2025,"manassasparkva.gov; Va Dept of Tax 2022 local tax rates report (estimated)"
Stafford County,county,1.25,5.49,0.985,yes,"Locally created DC classification at $1.25 in 2019 (Fredericksburg Regional Alliance regional pact w/ Spotsy/King George/Caroline)","Data center class held at $1.25 since 2019; RE rate moved $0.97 -> $0.985 advertised FY27","Stafford DC class is one-quarter the general BPP rate; deliberate recruitment posture",2026,"gostaffordva.com 2019; Stafford treasurer; Fredericksburg Free Press 2026-03"
Spotsylvania County,county,1.25,5.45,0.7376,yes,"Mirrored Stafford's $1.25 DC class via Fredericksburg Regional Alliance regional pact","DC class created 2020 at $1.25; held flat","Recruitment-oriented stack; DC pipeline active (Spotsy comp plan amended 2023)",2025,"Spotsylvania treasurer; Fredericksburg.com 2023; Fredericksburg Regional Alliance"
Culpeper County,county,3.50,2.40,0.65,yes,"Locally created DC computer-equipment class; rate raised mid-decade as DC pipeline matured","RE held near $0.62-$0.65; computer equipment to ~$3.50 FY26","Smaller DC base (Amazon/Copper Ridge); rate is moderate, not aggressive recruit",2026,"culpepercounty.gov; Culpeper Star-Exponent 2023"
Fauquier County,county,4.15,4.65,0.834,yes,"None; permissive comp plan but constrained by overlay limits","Computer equipment $4.15 (matches general BPP minus differential); RE rate $0.834","Limited DC siting; primarily one Amazon campus near Warrenton",2025,"fauquiercounty.gov/living/current-tax-rates"
Frederick County,county,2.25,4.86,0.61,yes,"None active; speculative DC interest from spillover off Loudoun","DC class created mid-decade; modest rate","Quantum Loophole campus is in Frederick County MARYLAND, not VA; Frederick Co VA has only nascent DC pipeline",2025,"fcva.us/departments/commissioner-of-the-revenue; Frederick Chamber Insights 2025-09"
Henrico County,county,2.60,3.50,0.85,yes,"DC class cut from $3.50 to $0.40 in 2017 (active recruit posture); raised to $2.60 effective TY2026","2017: $3.50 -> $0.40 (TY2017); 2026: $0.40 -> $2.60 (TY2026, adopted FY26 budget)","Henrico moved off the deep-discount $0.40 rate after Meta/Google/QTS commitments; still below state average; explicit policy reversal away from recruitment posture",2026,"henrico.gov 2025-02; henricocitizen.com; businessfacilities.com 2017"
Hanover County,county,3.57,3.57,0.81,no_separate_dc_class,"None","No specific DC class; computer equipment taxed under general BPP","Hanover has limited DC siting and treats DC equipment under general BPP class",2025,"hanovercounty.gov; VPM 2025-02"
Chesterfield County,county,0.24,3.60,0.91,yes,"Lowest in state; DC class cut from $1.80 to $0.24 (-86.6%) in 2022 to recruit Meta and others","2022: $1.80 -> $0.24","Aggressive recruitment posture; Dominion 944 MW gas peaker plant sited in Chesterfield supports DC load",2025,"grpva.com; Chesterfield Fits site selection materials"
Prince George County,county,1.50,4.25,0.82,yes,"Locally created DC computer-equipment class; modest rate to compete with Chesterfield","Stable rate; DC pipeline emerging (Tilghman, etc.)","Lower rate than NoVA; Tier-2 DC market",2025,"princegeorgecountyva.gov; Va Dept of Tax 2022 local tax rates report"
Mecklenburg County,county,3.40,3.40,0.40,no_separate_dc_class,"Microsoft Boydton: 90% personal property tax economic stimulus grant for 20 years (effective rate ~$0.34 / $100)","Separate DC class not created; PILOT-style grant on Microsoft equipment","Sole Southside DC; effective rate via grant is ~10% of nominal",2025,"sovanow.com; mecklenburgva.com/166; cardinalnews 2025-04"
Pittsylvania County,county,not_yet_set,8.50,0.62,yes_being_created,"Stack Infrastructure (Berry Hill) MOU: county building tax structure around $73B, 30-year buildout, 2,050 jobs","DC tax classification under active creation 2026","Locality drafting separate DC class; Balico project rejected April 2025 but Stack Infrastructure proceeding",2026,"cardinalnews 2026-04; chathamstartribune.com"
City of Virginia Beach,independent_city,0.40,4.00,0.97,yes,"DC class set at $0.40 to recruit Globalinx/Telxius cable landing-station campus","Held at $0.40","Submarine cable landing site differentiator; small total DC footprint vs. NoVA",2025,"vbgov.com; Virginia Business 2018"
City of Chesapeake,independent_city,4.00,4.00,1.01,no_separate_dc_class,"None","No DC-specific class","Limited DC siting; Globalinx is in Va Beach, not Chesapeake",2025,"cityofchesapeake.net; Va Dept of Tax 2022 local tax rates report"
